"key","message","comment","context"
"Address",,,
"Amount",,,
"Amount Collected",,,
"Are you sure event is saved otherwise you get a blank report","Etes-vous sûr que l'événement est enregistré sinon vous obtenez un rapport vierge",,
"Before Days",,,
"Capacity",,,
"City",,,
"Country",,,
"Description",,,
"Discount",,,
"Discount Amount",,,
"Discount Parcent",,,
"Email",,,
"Email Send",,,
"End Date",,,
"Event",,,
"Event Fees",,,
"Event Registration",,,
"EventRegistration",,,
"Events",,,
"Exceed duration between open and close registration dates","Dépasser la durée entre les dates d'ouverture et de fermeture",,
"Flat/House No.",,,
"Full name",,,
"Import",,,
"Import Event Registration",,,
"Import Registration",,,
"Input file",,,
"Landmark",,,
"Name",,,
"Please fill Registration Date",,,
"Please fill Registration Date and Event field","Veuillez remplir la date d'inscription et le champ de l'événement",,
"Reference",,,
"Registration Can't Exceed Capacity","L'inscription ne peut pas dépasser la capacité",,
"Registration Close",,,
"Registration Date",,,
"Registration Date must between Event registration open and registration close","La date d’inscription doit être comprise entre l’inscription ouverte et la clôture des inscriptions.",,
"Registration Open",,,
"Registration Open should not be ahead of registration close","L'inscription ouverte ne devrait pas être en avance sur la clôture des inscriptions",,
"Registration Open should not be ahead or equal to start date","Les inscriptions ouvertes ne doivent pas être en avance ou égales à la date de début",,
"Registration close should not be ahead or equal to start date","La clôture des inscriptions ne doit pas être en avance ni égale à la date de début",,
"Report",,,
"Send Email",,,
"Start Date",,,
"Street",,,
"Total Discount",,,
"Total Entry",,,
"Venue",,,
"start date should not be ahead of endDate","date de début ne doit pas être en avance sur endDate",,
